id,name,description,materials
1,石,地殻を形成する基本的な材料。原始的な道具と建築に不可欠。,
2,木材,木から得られる天然材料。燃料や基本的な建築に使用。,
3,粘土,細かい粒子で構成された土。土器と建築の原料。,
4,火,制御された燃焼現象。エネルギーと光を生成。土器作成と精錬に不可欠。,
5,種,作物を育てるための植物の種。農業の基盤。,
6,作物,収穫された農産物。重要な食料源。,
7,銅鉱石,自然界で見つかる金属鉱石。人類が最初に使用した金属。,
8,炉,高温で材料を加熱する構造物。精錬と土器の焼成に使用。,
9,燃料,燃焼してエネルギーを生成する物質。炉の加熱に使用。,
10,土器,粘土を焼いて作られた硬い容器。食料の保存に使用。,"3:1,4:1"
11,石炭,炭素が豊富な燃料。木よりも高温で燃える。鉄の精錬に不可欠。,
12,鉄鉱石,自然界で見つかる金属鉱石。精製すると青銅より強い。,
13,鉄インゴット,精製された鉄の塊。加工に適した形状。鉄製工具と恒久建築物に不可欠。,"12:1,8:1,11:1"
14,銅インゴット,精製された銅の塊。青銅作りに使用。,"7:1,8:1,9:1"
15,錫鉱石,柔らかい金属鉱石。青銅を作るために使用。,
16,錫インゴット,精製された錫の塊。青銅合金に使用。,"15:1,8:1,9:1"
17,青銅,銅と錫の合金。純銅よりも硬い。古代から使用されている。,"14:1,16:1"
18,貯蔵容器,食料と材料を保存する構造物。食料の備蓄に不可欠。,"2:3,1:2"
19,恒久建築物,鉄で作られた耐久性のある建物。高度な文明を表す。,"13:5,1:3"
20,農具,農業のための道具。安定した食料生産に不可欠。,"13:2,2:1"
21,鶏肉,鶏から得られる肉。重要なタンパク質源。,
22,卵,鶏が産む卵。栄養価が高い。,
23,豚肉,豚から得られる肉。美味で栄養価が高い。,
24,羊肉,羊から得られる肉。柔らかく風味豊か。,
25,羊毛,羊から得られる毛。衣類の材料。,
26,山羊肉,山羊から得られる肉。独特の風味がある。,
27,ヤギミルク,山羊から得られるミルク。栄養価が高い。,
28,牛肉,牛から得られる肉。高品質なタンパク質源。,
29,牛乳,牛から得られるミルク。栄養価が非常に高い。,
30,馬肉,馬から得られる肉。一部の文化で珍重される。,
