recipeId,itemId,quantity
water_recipe,hydrogen,2
water_recipe,oxygen,1
carbon_dioxide_recipe,carbon,1
carbon_dioxide_recipe,oxygen,2
glass_recipe,sand,2
glass_recipe,fire,1
ceramic_recipe,clay,2
ceramic_recipe,fire,1
iron_ingot_recipe,iron,1
iron_ingot_recipe,fire,1
copper_ingot_recipe,copper,1
copper_ingot_recipe,fire,1
steel_recipe,iron_ingot,2
steel_recipe,carbon,1
bronze_recipe,copper_ingot,3
bronze_recipe,tin,1
brass_recipe,copper_ingot,2
brass_recipe,zinc,1
paper_recipe,wood,1
paper_recipe,water,1
brick_recipe,clay,2
brick_recipe,fire,1
cement_recipe,limestone,2
cement_recipe,clay,1
cement_recipe,fire,1
concrete_recipe,cement,1
concrete_recipe,sand,2
concrete_recipe,gravel,2
concrete_recipe,water,1
wire_recipe,copper_ingot,1
wire_recipe,rubber,1
circuit_board_recipe,plastic,2
circuit_board_recipe,copper_ingot,1
gear_recipe,steel,2
spring_recipe,steel,1
screw_recipe,steel,1
bolt_recipe,steel,2
pipe_recipe,steel,1
valve_recipe,steel,1
valve_recipe,rubber,1
pump_recipe,motor,1
pump_recipe,pipe,2
pump_recipe,valve,1
battery_recipe,zinc,1
battery_recipe,copper_ingot,1
battery_recipe,acid,1
motor_recipe,magnet,2
motor_recipe,wire,3
motor_recipe,iron_ingot,2
magnet_recipe,iron_ingot,1
magnet_recipe,electricity,1
lens_recipe,glass,1
mirror_recipe,glass,1
mirror_recipe,silver,1
transistor_recipe,silicon,1
transistor_recipe,gold,1
resistor_recipe,carbon,1
resistor_recipe,ceramic,1
capacitor_recipe,aluminum,2
capacitor_recipe,plastic,1
led_recipe,silicon,1
led_recipe,gallium,1
led_recipe,electricity,1
sensor_recipe,circuit_board,1
sensor_recipe,transistor,2
sensor_recipe,lens,1
hammer_recipe,iron_ingot,1
hammer_recipe,wood,1
saw_recipe,steel,1
saw_recipe,wood,1
drill_recipe,steel,1
drill_recipe,motor,1
wrench_recipe,steel,1
screwdriver_recipe,steel,1
screwdriver_recipe,plastic,1
knife_recipe,steel,1
knife_recipe,wood,1
axe_recipe,steel,1
axe_recipe,wood,1
shovel_recipe,steel,1
shovel_recipe,wood,1
pickaxe_recipe,steel,2
pickaxe_recipe,wood,1
flashlight_recipe,battery,1
flashlight_recipe,led,1
flashlight_recipe,aluminum,1
clock_recipe,gear,3
clock_recipe,spring,1
clock_recipe,glass,1
calculator_recipe,circuit_board,1
calculator_recipe,transistor,5
calculator_recipe,battery,1
calculator_recipe,plastic,1
radio_recipe,circuit_board,1
radio_recipe,transistor,3
radio_recipe,resistor,2
radio_recipe,capacitor,2
radio_recipe,wire,2
radio_recipe,battery,1
camera_recipe,lens,1
camera_recipe,sensor,1
camera_recipe,circuit_board,1
camera_recipe,plastic,2
phone_recipe,radio,1
phone_recipe,circuit_board,1
phone_recipe,battery,1
phone_recipe,plastic,1
computer_recipe,circuit_board,3
computer_recipe,transistor,10
computer_recipe,silicon,2
computer_recipe,plastic,2
computer_recipe,aluminum,1
robot_recipe,computer,1
robot_recipe,motor,4
robot_recipe,sensor,3
robot_recipe,steel,5
robot_recipe,wire,5
car_recipe,motor,1
car_recipe,steel,10
car_recipe,rubber,4
car_recipe,glass,4
car_recipe,battery,1
truck_recipe,car,1
truck_recipe,steel,10
airplane_recipe,motor,2
airplane_recipe,aluminum,15
airplane_recipe,glass,5
airplane_recipe,wire,10
airplane_recipe,fuel,5
ship_recipe,steel,50
ship_recipe,motor,4
ship_recipe,wire,20
ship_recipe,glass,10
rocket_recipe,aluminum,20
rocket_recipe,fuel,10
rocket_recipe,oxygen,10
rocket_recipe,computer,1
book_recipe,paper,10
book_recipe,leather,1
canvas_recipe,fabric,2
canvas_recipe,wood,1
paint_recipe,coal,1
paint_recipe,oil,1
painting_recipe,canvas,1
painting_recipe,paint,3
bread_recipe,flour,2
bread_recipe,water,1
bread_recipe,fire,1
cheese_recipe,milk,2
cheese_recipe,salt,1
wine_recipe,grape,5
wine_recipe,water,1
chocolate_recipe,cocoa,2
chocolate_recipe,sugar,1
chocolate_recipe,milk,1
coffee_recipe,coffee_bean,2
coffee_recipe,water,1
coffee_recipe,fire,1
electricity_recipe,magnet,1
electricity_recipe,wire,1
electricity_recipe,motor,1
steam_recipe,water,1
steam_recipe,fire,1
solar_panel_recipe,silicon,5
solar_panel_recipe,glass,2
solar_panel_recipe,aluminum,2
solar_panel_recipe,wire,3
wind_turbine_recipe,motor,1
wind_turbine_recipe,steel,10
wind_turbine_recipe,wire,5
nuclear_reactor_recipe,uranium,5
nuclear_reactor_recipe,steel,20
nuclear_reactor_recipe,concrete,30
nuclear_reactor_recipe,wire,10
nuclear_reactor_recipe,computer,2
