id,result,craftTime,description
water_recipe,9,1.0,Combine hydrogen and oxygen to make water
carbon_dioxide_recipe,10,1.0,Combine carbon and oxygen to make carbon dioxide
glass_recipe,17,2.0,Melt sand at high temperature to make glass
ceramic_recipe,18,2.0,Fire clay to make ceramic
iron_ingot_recipe,19,2.0,Refine iron to make ingot
copper_ingot_recipe,20,2.0,Refine copper to make ingot
steel_recipe,21,3.0,Alloy iron and carbon to make steel
bronze_recipe,22,3.0,Alloy copper and tin to make bronze
brass_recipe,23,3.0,Alloy copper and zinc to make brass
paper_recipe,26,2.0,Process wood to make paper
brick_recipe,30,2.5,Fire clay to make brick
cement_recipe,91,3.0,Fire limestone and clay to make cement
concrete_recipe,29,3.0,Mix cement, sand, gravel, and water to make concrete
wire_recipe,31,2.0,Cover copper wire with insulation to make wire
circuit_board_recipe,32,3.0,Make circuit board with plastic and copper
gear_recipe,34,2.5,Process steel to make gear
spring_recipe,35,2.0,Process steel to make spring
screw_recipe,36,1.5,Process steel to make screw
bolt_recipe,37,2.0,Process steel to make bolt
pipe_recipe,38,2.0,Process steel to make pipe
valve_recipe,39,2.5,Make valve with steel and rubber
pump_recipe,40,4.0,Combine motor, pipe, and valve to make pump
battery_recipe,41,3.0,Make battery with zinc, copper, and acid
motor_recipe,33,4.0,Combine magnet, wire, and iron to make motor
magnet_recipe,44,2.5,Pass current through iron to make magnet
lens_recipe,42,2.0,Process glass to make lens
mirror_recipe,43,2.5,Coat glass with silver to make mirror
transistor_recipe,47,3.5,Make transistor with silicon and gold
resistor_recipe,48,2.0,Make resistor with carbon and ceramic
capacitor_recipe,49,2.5,Make capacitor with aluminum and plastic
led_recipe,46,3.5,Make LED with silicon and gallium
sensor_recipe,45,4.0,Combine circuit board, transistor, and lens to make sensor
hammer_recipe,50,2.5,Make hammer with iron and wood
saw_recipe,51,2.5,Make saw with steel and wood
drill_recipe,52,3.5,Make drill with steel and motor
wrench_recipe,53,2.0,Process steel to make wrench
screwdriver_recipe,54,2.0,Make screwdriver with steel and plastic
knife_recipe,55,2.5,Make knife with steel and wood
axe_recipe,56,2.5,Make axe with steel and wood
shovel_recipe,57,2.5,Make shovel with steel and wood
pickaxe_recipe,58,3.0,Make pickaxe with steel and wood
flashlight_recipe,59,3.0,Make flashlight with battery, LED, and aluminum
clock_recipe,60,4.0,Make clock with gear, spring, and glass
calculator_recipe,61,5.0,Make calculator with circuit board, transistor, battery, and plastic
radio_recipe,62,6.0,Combine electronic components to make radio
camera_recipe,63,5.5,Make camera with lens, sensor, circuit board, and plastic
phone_recipe,64,6.0,Make phone with radio, circuit board, battery, and plastic
computer_recipe,65,8.0,Combine many electronic components to make computer
robot_recipe,66,10.0,Combine computer, motor, sensor, and steel to make robot
car_recipe,67,12.0,Make car with motor, steel, rubber, glass, and battery
truck_recipe,68,8.0,Enlarge car to make truck
airplane_recipe,69,15.0,Make airplane with motor, aluminum, glass, wire, and fuel
ship_recipe,70,20.0,Make ship with large amounts of steel and motor
rocket_recipe,71,18.0,Make rocket with aluminum, fuel, oxygen, and computer
book_recipe,72,3.0,Make book with paper and leather
canvas_recipe,95,2.0,Make canvas with fabric and wood
paint_recipe,96,2.0,Make paint with coal and oil
painting_recipe,73,4.0,Make painting with canvas and paint
bread_recipe,75,3.0,Make bread with flour, water, and fire
cheese_recipe,76,4.0,Make cheese with milk and salt
wine_recipe,77,10.0,Ferment grape to make wine
chocolate_recipe,78,3.0,Make chocolate with cocoa, sugar, and milk
coffee_recipe,79,2.0,Make coffee with coffee bean, water, and fire
electricity_recipe,81,1.0,Move magnet and wire to generate electricity
steam_recipe,82,2.0,Heat water to make steam
solar_panel_recipe,83,6.0,Make solar panel with silicon, glass, aluminum, and wire
wind_turbine_recipe,84,8.0,Make wind turbine with motor, steel, and wire
nuclear_reactor_recipe,85,25.0,Make nuclear reactor with uranium, steel, concrete, wire, and computer
